qubits,oracle_type,classical_queries,quantum_oracle_queries,probability_all_zero
1,constant,2,1,0.9999999999999996
1,balanced,2,1,5.004680467665246e-34
2,constant,3,1,1.0
2,balanced,3,1,0.0
3,constant,5,1,0.9999999999999996
3,balanced,5,1,5.004680467665246e-34
4,constant,9,1,1.0
4,balanced,9,1,0.0
5,constant,17,1,0.9999999999999998
5,balanced,17,1,4.911892527357937e-34
6,constant,33,1,1.0
6,balanced,33,1,0.0
7,constant,65,1,0.9999999999999998
7,balanced,65,1,1.3026805366565817e-33
8,constant,129,1,1.0
8,balanced,129,1,0.0
